market_id,name,banner_url,sort_order,physical_stalls
kovan_market,"""QQ Fresh Juice Ice Blend"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/QQ_Fresh_Juice_Ice_Blend.jpg,1,[1]
kovan_market,"""Lee Brother's Otah"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Lee_Brother's_Otah.jpg,2,[2]
kovan_market,"""Yew Kee Duck Rice"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Yew_Kee_Duck_Rice.jpg,3,[3]
kovan_market,"""Chun Fu Fishball Minced Meat Noodle Laksa"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Chun_Fu_Fishball_Minced_Meat%20Noodle_Laksa.jpg,4,[4]
kovan_market,"""Fa Ji Minced Meat Fishball Noodles""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Fa_Ji_Minced_Meat%20Fishball_Noodles.jpg,5,[5]
kovan_market,"""Nan Fang Ming Cha Shi Drinks"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Nan_Fang%20Ming_Cha_Shi_Drinks.jpg,6,[6]
kovan_market,"""Tian Fa Lormee"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Tian_Fa_Lormee.jpg,7,[7]
kovan_market,"""Jin Ding Xiang"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Jin_Ding_Xiang.jpg,8,[8]
kovan_market,"""Mei Wei Dessert"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Mei_Wei_Dessert.jpg,9,[9]
kovan_market,"""Pontian Wanton Noodles"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Pontian_Wanton_Noodles.jpg,10,[10]
kovan_market,"""Xing Xing Cooked Food"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Xing_Xing_Cooked_Food.jpg,11,[11]
kovan_market,"""Qing Liang Traditional Sugar Cane Juice"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Qing_Liang_Traditional_Sugar_Cane_Juice.jpg,12,[12]
kovan_market,"""Ng Guan Huat""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Ng_Guan_Huat.jpg,13,[13]
kovan_market,"""Whampoa Soya Bean""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Whampoa_Soya_Bean.jpg,14,[14]
kovan_market,"""Yuan Yang Spinach Soup"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Yuan_Yang_Spinach_Soup.jpg,15,[15]
kovan_market,"""A1 Kway Chap - Duck Rice"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/A1_Kway_Chap_-_Duck_Rice.jpg,16,[16]
kovan_market,"""Fatt Soon Kueh"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Fatt_Soon_Kueh.jpg,17,[17]
kovan_market,"""Kim Soon"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Kim_Soon.jpg,18,[18]
kovan_market,"""Jin Zah Ji"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Jin_Zah_Ji.jpg,19,[19]
kovan_market,"""Ah Balling Peanut Soup""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Ah_Balling_Peanut_Soup.jpg,20,[20]
kovan_market,"""Yuan Ji Coffee Stall"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Yuan_Ji_Coffee_Stall.jpg,21,[21]
kovan_market,"""Tian Cheng Drink Stall"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Tian_Cheng_Drink_Stall.jpg,22,[22]
kovan_market,"""Hai Jiao Ren Fish Soup"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Hai_Jiao_Ren_Fish_Soup.jpg,23,[23]
kovan_market,"""Delisnacks""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Delisnacks.jpg,24,[24]
kovan_market,"""Hougang Hainanese Curry Rice""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Hougang_Hainanese_Curry_Rice.jpg,25,[25]
kovan_market,"""Hup Lee Nasi Lemak"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Hup_Lee_Nasi_Lemak.jpg,26,"[26,27]"
kovan_market,"""Xiang Rui Porridge"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Xiang_Rui_Porridge.jpg,27,[28]
kovan_market,"""Tong Fong Fatt Hainanese Boneless Chicken Rice"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Tong_Fong_Fatt_Hainanese_Boneless_Chicken_Rice.jpg,28,[29]
kovan_market,"""Bedok North Fried Oyster""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Bedok_North_Fried_Oyste.jpg,29,[30]
kovan_market,"""Shi Nian Pig Leg Rice"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Shi_Nian_Pig_Leg_Rice.jpg,30,[31]
kovan_market,"""Bedok Cooked Food""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Bedok_Cooked_Food.jpg,31,[32]
kovan_market,"""Zhai Vegetarian Food' ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Zhai_Vegetarian_Food.jpg,32,[33]
kovan_market,"""Selegie Soya Bean""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Selegie_Soya_Bean.jpg,33,[34]
kovan_market,"""Yam Mee Teochew Fishball Mee"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Yam_Mee_Teochew_Fishball_Mee.jpg,34,"[35,36]"
kovan_market,"""Chao Xing""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Chao_Xing.jpg,35,[37]
kovan_market,"""Huang Chao Teochew Noodle House"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Huang_Chao_Teochew_Noodle_House.jpg,36,[38]
kovan_market,"""Kovan Rojak"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Kovan_Rojak.jpg,37,[39]
kovan_market,"""Char siew and Roasted Pork""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Char_siew_and_Roasted_Pork.jpg,38,[40]
kovan_market,"""Grill & Pasta"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Grill_&_Pasta.jpg,39,[41]
kovan_market,"""Yong Hwa Drink Stall""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Yong_Hwa_Drink_Stall.jpg,40,[42]
kovan_market,"""San Xing Coffee Stall"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/San_Xing_Coffee_Stall.jpg,41,[43]
kovan_market,"""Tian Mi Sugar Cane"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Tian_Mi_Sugar_Cane.jpg,42,[44]
kovan_market,"""Heng Ji Herbal Soup"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Heng_Ji_Herbal_Soup.jpg,43,[45]
kovan_market,"""Jin Shun Zhai"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Jin_Shun_Zhai.jpg,44,[46]
kovan_market,"""You Ji Desserts"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/You_Ji_Desserts.jpg,45,[47]
kovan_market,"""Koon Seng Kway Chap"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Koon_Seng_Kway_Chap.jpg,46,[48]
kovan_market,"""209 Ho Chiak Mixed Vegetable Rice"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/209_Ho_Chiak_Mixed_Vegetable_Rice.jpg,47,[49]
kovan_market,"""Chong Pang Huat"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Chong_Pang_Huat.jpg,48,[50]
kovan_market,"""Dong Fang Lao Jie Fang"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Dong_Fang_Lao_Jie_Fang.jpg,49,[51]
kovan_market,"""Fortune Popiah""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Fortune_Popiah.jpg,50,[52]
kovan_market,"""Hajjah Mariam Muslim Food""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Hajjah_Mariam_Muslim_Food.jpg,51,[53]
kovan_market,"""Hussain Muslim Food""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Hussain_Muslim_Food.jpg,52,[54]
kovan_market,"""Anthony Indonesia Cuisine"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Anthony_Indonesia_Cuisine.jpg,53,[55]
kovan_market,"""Mei Wei Handmade Noodle Fish Soup""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Mei_Wei_Handmade%20Noodle%20Fish_Soup.jpg,54,[56]
kovan_market,"""Yi Shi Jia Wanton Mee"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Zhen_%20Xing_Traditional_Prawn_Noodle.jpg,55,[57]
kovan_market,"""Weng Huat Carrot Cake""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Weng_Huat_Carrot_Cake.jpg,56,[58]
kovan_market,"""Zhen Xing Traditional Prawn Noodle""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Zhe_%20Xing_Traditional_Prawn_Noodle.jpg,57,[59]
kovan_market,"""Tiong Bahru Fried Fish Ball""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Tiong_Bahru_Fried_Fish_Ball.jpg,58,[60]
kovan_market,"""Chuan Heng Cooked Food""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Chuan_Heng_Cooked_Food.jpg,59,[61]
kovan_market,"""Cowboy Charcoal Grill"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Cowboy_Charcoal_Grill.jpg,60,[62]
kovan_market,"""Jin Ji Coffee Stall"" ",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Jin_Ji_Coffee_Stall_.jpg,61,[63]
kovan_market,"""51 Ming Fa - Wanton Egg Noodle""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/51_Ming_Fa_Wanton_Egg_Noodle.jpg,62,[64]
kovan_market,"""Sun Kee Drinks""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Sun_Kee_Drinks.jpg,63,[65]
kovan_market,"""Original Simon Road Hokkien Mee""",https://jzxkwqftxbtniwtaterf.supabase.co/storage/v1/object/public/banners/Original_Simon_Road_Hokkien_Mee.jpg,64,[66]